age,gender,interest_history,interest_mathematics,interest_physics,interest_computers,interest_economy,interest_medical,interest_law,interest_geography,interest_psychology,phobia_Flying,phobia_storm,phobia_darkness,phobia_heights,phobia_ageing,phobia_public_speaking
22.0,female,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
19.0,female,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,afraid,Very much afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid
20.0,male,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,Not afraid,Not afraid,Slightly afraid,Very afraid,Very afraid,Slightly afraid
19.0,female,Strongly agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,afraid,afraid,Very afraid,Very much afraid,Very much afraid,afraid
25.0,male,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Not afraid,Not afraid,Not afraid,afraid,Very afraid,Very afraid
22.0,female,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Strongly agree,afraid,Very much afraid,Very much afraid,Very much afraid,Not afraid,Slightly afraid
27.0,female,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Not afraid,Very much afraid,Slightly afraid,Very afraid,Not afraid,Very afraid
20.0,male,Agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Disagree,Disagree,Strongly agree,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid,afraid
19.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,afraid,Very much afraid,afraid,afraid,Very much afraid,Not afraid
18.0,female,Agree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,afraid,Not afraid,Very afraid,afraid,afraid,Very much afraid
21.0,male,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Not afraid,Not afraid,Not afraid,afraid,afraid,Slightly afraid
23.0,female,Neutral,Neutral,Disagree,Disagree,Strongly agree,Agree,Neutral,Neutral,Agree,afraid,Very afraid,Slightly afraid,Very afraid,Not afraid,Slightly afraid
21.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,afraid,afraid,Slightly afraid,Slightly afraid,afraid,Very afraid
26.0,female,Disagree,Disagree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Not afraid,afraid,Very much afraid,afraid,afraid,afraid
20.0,male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Slightly afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,female,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Not afraid,Not afraid,afraid,Not afraid,Not afraid,Very much afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Not afraid,afraid,Very afraid,Very much afraid,Slightly afraid,Not afraid
25.0,female,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Agree,Strongly agree,afraid,Slightly afraid,Very afraid,Very much afraid,afraid,afraid
27.0,male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Very much afraid,Slightly afraid,Slightly afraid,Very much afraid,Very much afraid,Very afraid
21.0,female,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
19.0,female,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Neutral,Not afraid,Slightly afraid,Not afraid,afraid,afraid,Very afraid
20.0,female,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,afraid,Not afraid,Slightly afraid,Slightly afraid,Very much afraid,Not afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,afraid,Not afraid,Very much afraid,Very afraid,afraid,Very much afraid
19.0,female,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Not afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid
19.0,female,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Neutral,Agree,afraid,Not afraid,afraid,Not afraid,Not afraid,Slightly afraid
21.0,female,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,afraid,afraid,Very much afraid,Very afraid,afraid,afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,afraid,Not afraid,Not afraid,Not afraid,Not afraid,Very much afraid
21.0,female,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,afraid,Slightly afraid,Very much afraid,Very much afraid,Not afraid,Slightly afraid
23.0,female,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Slightly afraid,Slightly afraid,Very much afraid,afraid,afraid,Very afraid
20.0,female,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,afraid,Not afraid,Very much afraid,afraid,Very much afraid,afraid
21.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,Very much afraid
19.0,male,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Not afraid,Not afraid,Slightly afraid,Very much afraid,Very much afraid,afraid
22.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Very much afraid,Not afraid,Not afraid,Very afraid,Not afraid,Very much afraid
23.0,male,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Very much afraid
23.0,male,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Not afraid,Not afraid,Not afraid,afraid,Very afraid,Slightly afraid
23.0,male,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Very much afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid,Very afraid
22.0,male,Agree,,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,afraid
18.0,female,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Not afraid,Slightly afraid,Very much afraid,afraid,Very much afraid,afraid
17.0,male,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Very afraid
20.0,male,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,afraid,Slightly afraid,afraid,Very much afraid,Not afraid,afraid
24.0,female,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid
18.0,female,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Neutral,Disagree,afraid,Very much afraid,Slightly afraid,Slightly afraid,Not afraid,Very much afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Slightly afraid,Very much afraid,Not afraid,Not afraid,Not afraid,afraid
17.0,male,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,afraid
20.0,male,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Very afraid,Very much afraid,Not afraid
28.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Not afraid,afraid,afraid,afraid,afraid,Very afraid
21.0,male,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Very much afraid,Slightly afraid,Not afraid,afraid,Very much afraid,Very much afraid
22.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Agree,Neutral,Very much afraid,Very much afraid,Not afraid,Very afraid,afraid,Slightly afraid
20.0,male,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Slightly afraid,Not afraid,Slightly afraid,Very much afraid,Not afraid,Not afraid
18.0,male,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Slightly afraid,afraid,Slightly afraid,afraid,Not afraid,afraid
21.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Not afraid,Not afraid,Not afraid,afraid,Slightly afraid,afraid
24.0,female,Disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Very much afraid,Very afraid
21.0,female,Agree,Disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Slightly afraid,afraid,Slightly afraid,Very afraid,Slightly afraid,Very afraid
19.0,female,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Disagree,Agree,Slightly afraid,Not afraid,Very afraid,Slightly afraid,Not afraid,Very afraid
22.0,male,Neutral,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Disagree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Not afraid
18.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Slightly afraid,Not afraid,Very much afraid,Slightly afraid,Not afraid,Very much afraid
22.0,female,,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,afraid,Very afraid,Very much afraid,afraid,afraid,afraid
19.0,female,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Very afraid
22.0,male,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Slightly afraid,afraid,Very afraid,Very much afraid,Not afraid,afraid
24.0,male,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Very afraid,Very afraid,Very afraid,Very afraid,afraid,Very much afraid
18.0,female,Strongly agree,,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Very much afraid,Slightly afraid
21.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Very much afraid,Slightly afraid,Slightly afraid,Very afraid,Not afraid,Very much afraid
22.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Neutral,afraid,afraid,Slightly afraid,afraid,Very afraid,afraid
19.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly afraid,afraid,Not afraid,afraid,Very much afraid,afraid
18.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Not afraid,afraid,Not afraid,Not afraid,Very much afraid,Not afraid
19.0,female,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Slightly afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
24.0,male,Disagree,Agree,Agree,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly agree,Neutral,Very much afraid,Very afraid,Slightly afraid,Very afraid,Not afraid,Not afraid
21.0,male,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,Disagree,Neutral,Disagree,Not afraid,Not afraid,Not afraid,Very afraid,Not afraid,afraid
21.0,male,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Very afraid,Slightly afraid
19.0,male,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Very much afraid
19.0,male,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Not afraid,Not afraid,Slightly afraid,afraid,Not afraid,Slightly afraid
22.0,male,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,afraid,afraid,Not afraid
18.0,female,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Slightly afraid,Slightly afraid,afraid,afraid,Slightly afraid,Very afraid
21.0,female,Neutral,Disagree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,afraid,Very afraid,afraid,Very much afraid,Not afraid,afraid
18.0,male,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid
20.0,female,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Not afraid,Slightly afraid,Very afraid,Not afraid,Slightly afraid,afraid
22.0,male,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Very afraid,Not afraid
21.0,male,Strongly agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Not afraid
24.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Not afraid,Slightly afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid
19.0,male,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Agree,Slightly afraid,Not afraid,Not afraid,Not afraid,afraid,afraid
18.0,female,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Very afraid,Slightly afraid,Very much afraid,Not afraid,Not afraid,Not afraid
17.0,female,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Not afraid,Not afraid,Slightly afraid,Very afraid,Very much afraid,Slightly afraid
18.0,male,Neutral,Disagree,Disagree,Strongly agree,Agree,Neutral,Disagree,Disagree,Neutral,afraid,Not afraid,afraid,Slightly afraid,Not afraid,Very afraid
21.0,male,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Not afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid
22.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Not afraid,Very much afraid
20.0,female,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Slightly afraid,Very afraid,afraid,Not afraid,Slightly afraid,afraid
21.0,female,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Not afraid,Not afraid,afraid,,Not afraid,Not afraid
19.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,Very much afraid
17.0,female,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Strongly agree,Not afraid,Not afraid,Very afraid,Very much afraid,Very much afraid,Slightly afraid
21.0,female,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Very afraid,Slightly afraid,Very much afraid,Very much afraid,afraid,Very afraid
18.0,female,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Very afraid
23.0,male,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Slightly afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
16.0,female,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Very afraid,Slightly afraid,Not afraid,Slightly afraid,Not afraid,afraid
23.0,male,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
21.0,male,Strongly disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid
23.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Very afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid
20.0,female,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly afraid,Slightly afraid,Not afraid,Not afraid,afraid,Very afraid
20.0,male,Agree,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid
20.0,female,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,afraid
20.0,female,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Very afraid,afraid,Very much afraid,Very afraid,Very afraid,afraid
19.0,female,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Strongly agree,Agree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid
15.0,female,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,afraid,Very much afraid,Very much afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neutral,Slightly afraid,Very afraid,Very afraid,Slightly afraid,afraid,afraid
19.0,female,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Not afraid,Not afraid,afraid,Not afraid,Very much afraid,afraid
18.0,male,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Not afraid,Slightly afraid,afraid,Very afraid,Not afraid,Slightly afraid
15.0,female,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Not afraid,Not afraid,Slightly afraid,Not afraid,afraid,Very afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,afraid,afraid,Very much afraid,Very afraid,Slightly afraid,Slightly afraid
16.0,female,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,afraid,afraid,afraid,afraid,Very much afraid,Very much afraid
18.0,male,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Very afraid,Very afraid,Very much afraid,Very much afraid,afraid,Not afraid
21.0,male,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Not afraid,Not afraid,Slightly afraid,Very afraid,Not afraid,Slightly afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
19.0,female,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Very afraid,Very afraid,Very afraid,Very afraid,Very afraid,Slightly afraid
19.0,female,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Slightly afraid,Slightly afraid,Slightly afraid,Very much afraid,Slightly afraid,afraid
19.0,female,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Not afraid,Slightly afraid,Very afraid,Very much afraid,Very much afraid,Not afraid
,male,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,afraid,afraid,Not afraid,Very afraid,Very afraid,afraid
20.0,female,,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Slightly afraid,afraid,Very afraid,Very much afraid,Very afraid,Very afraid
